Id,Label
Regulus Arcturus Black,Regulus Arcturus Black
Sirius Black,Sirius Black
Lavender Brown,Lavender Brown
Cho Chang,Cho Chang
Vincent Crabbe Sr.,Vincent Crabbe Sr.
Vincent Crabbe,Vincent Crabbe
Bartemius Barty Crouch Sr.,Bartemius Barty Crouch Sr.
Bartemius Barty Crouch Jr.,Bartemius Barty Crouch Jr.
Fleur Delacour,Fleur Delacour
Cedric Diggory,Cedric Diggory
Alberforth Dumbledore,Alberforth Dumbledore
Albus Dumbledore,Albus Dumbledore
Dudley Dursley,Dudley Dursley
Petunia Dursley,Petunia Dursley
Vernon Dursley,Vernon Dursley
Argus Filch,Argus Filch
Seamus Finnigan,Seamus Finnigan
Nicolas Flamel,Nicolas Flamel
Cornelius Fudge,Cornelius Fudge
Goyle Sr.,Goyle Sr.
Gregory Goyle,Gregory Goyle
Hermione Granger,Hermione Granger
Rubeus Hagrid,Rubeus Hagrid
Igor Karkaroff,Igor Karkaroff
Viktor Krum,Viktor Krum
Bellatrix Lestrange,Bellatrix Lestrange
Alice Longbottom,Alice Longbottom
Frank Longbottom,Frank Longbottom
Neville Longbottom,Neville Longbottom
Luna Lovegood,Luna Lovegood
Xenophilius Lovegood,Xenophilius Lovegood
Remus Lupin,Remus Lupin
Draco Malfoy,Draco Malfoy
Lucius Malfoy,Lucius Malfoy
Narcissa Malfoy,Narcissa Malfoy
Olympe Maxime,Olympe Maxime
Minerva McGonagall,Minerva McGonagall
Alastor Olho-Torto Moody,Alastor Olho-Torto Moody
Peter Pettigrew,Peter Pettigrew
Harry Potter,Harry Potter
James Potter,James Potter
Lily Potter,Lily Potter
Quirinus Quirrell,Quirinus Quirrell
Tom Riddle Sr.,Tom Riddle Sr.
Mary Riddle,Mary Riddle
Lord Voldemort,Lord Voldemort
Rita Skeeter,Rita Skeeter
Severus Snape,Severus Snape
Nymphadora Tonks,Nymphadora Tonks
Dolores Janes Umbridge,Dolores Janes Umbridge
Arthur Weasley,Arthur Weasley
Bill Weasley,Bill Weasley
Charlie Weasley,Charlie Weasley
Fred Weasley,Fred Weasley
George Weasley,George Weasley
Ginny Weasley,Ginny Weasley
Molly Weasley,Molly Weasley
Percy Weasley,Percy Weasley
Ron Weasley,Ron Weasley
Dobby,Dobby
Fluffy,Fluffy
Hedwig,Hedwig
Moaning Myrtle,Moaning Myrtle
Aragog,Aragog
Grawp,Grawp
